i_ix,TextId,cpAnnotationScore,cpNumAnnotators,Model_Source,Frame,Story (some reworded),L3_SF,L3_NP,L3_top5,L3s_SF,L3s_NP,i_humdoubt,L2_SF,L2_NP
79,75,1,2,mistral-orig,nurturing-parent,"'In the heart of the enchanted forest, there lived a wise old tree named Elder. He had stood tall and strong for centuries, sheltering and watching over the forest's inhabitants. Elder had a special gift; he could care for the young saplings growing at his roots, helping them thrive and reach their full potential. With his gentle whispering and soothing touch, he guided them through the challenges of growing up, teaching them valuable lessons along the way. His love and care for the saplings were unconditional, and they knew that no matter what obstacles they faced, Elder would always be there to support and encourage them. The forest was a vibrant, thriving ecosystem, all thanks to the presence of Elder, the wise and loving tree.'",0,95,"Nurturance, Guidance, Protection, Care, Mentorship",0,80,False,80,100
78,76,1,2,mistral-bible,nurturing-parent,"Isaiah 40:1-2, 11 (NIV)  Comfort, comfort my people, says your God. Speak tenderly to Jerusalem, and proclaim to her that her hard service has been completed, that her sin has been paid for, and that from now on she will be called Jerusalem the Hallowed One, the city no longer deserted.  He will tend his flock like a shepherd: He will gather the lambs in his arms and carry them in his bosom; He will gently lead those that have young.  Who has measured the waters in the hollow of his hand or with the breadth of his hand marked off the heavens? Who has held the dust of the earth in a basket or weighed the mountains on the scales and the hills in a balance? Who has measured the Spirit of the Lord, or what man shows him his counsel? Whom did he consult to enlighten him, and who taught him the path of justice? Who taught him knowledge, or showed him the way of understanding? Whom did he consult for instruction, and who made him versed in the art of God? That was the Lord, who made all things, who alone stretched out the heavens, Who by himself spread out the heavens and tread on the waves of the sea.  ",0,80,"Care, Justice, Knowledge, Creation, Authority",0,80,False,50,30
77,77,1,2,mistral-scifi,nurturing-parent,"In the dystopian world of 'Children of Men', the once idyllic society has descended into chaos, with fertility rates plummeting and humanity facing the prospect of extinction. Amidst this despair, Theo Faron, a former activist, finds himself reluctantly drawn into the chaotic world of human smuggling when asked to help transport a pregnant woman named Kee to safety. As they navigate through the dangerous streets, Theo's protective instincts kick in, and he becomes a parent figure to Kee, shielding her from harm and ensuring her safety. Despite the challenges they face, Theo's unwavering commitment to keeping Kee and her unborn child alive renews his sense of purpose and offers a glimmer of hope in this bleak, desperate world.",80,80,"CARE, PROTECTION, SAFETY, PARENTING, HOPE",75,75,False,80,80
76,147,1,2,yi-orig,nurturing-parent,"Once upon a time, a young child was lost in a bustling city. A kind couple found the child, and with a gentle touch and a warm smile, they enveloped the child in their loving embrace. They reassured the child that everything would be okay, and they took the child home, where they provided a cozy nest of comfort and safety. From that day on, the child knew that no matter what, they had two parents who would always be there to protect them.  This story invokes the frame by depicting a couple who care for and protect a lost child, symbolizing the unconditional love and support that parents provide to their children. The couple's actions suggest that they will do everything to ensure the child's well-being, mirroring the protective role that parents play in children's lives.",0,100,"Nurturant Parent, Protection, Care/Hospitality, Safety, Family",0,80,False,100,100
74,148,1,2,yi-bible,nurturing-parent,"'The Lord is my shepherd; I shall not want. He makes me lie down in green pastures, he leads me beside quiet waters, he restores my soul. He guides me in paths of righteousness for his name's sake.' - Psalm 23:1-3  This passage from the Bible invokes the frame by describing the Lord as a shepherd who cares for the author, providing what they need, leading them to peaceful environments, and restoring their soul. The imagery of the parent is evident in the way the Lord is described as providing for and guiding his follower, much like a parent would care for and protect their child.",80,100,"Shepherd, Parent, Caregiver, Guidance, Nurturance",80,80,False,100,100
75,149,1,2,yi-scifi,nurturing-parent,"In the novel 'Dune,' by Frank Herbert, the character Lady Jessica serves as a parent figure to her adopted son, Paul Atreides. She guides him through his training and prepares him for his role as the future messiah of the Fremen people. She instills in him the values of honor, loyalty, and courage, and is always there to support and protect him, even when it means putting her own life at risk. This portrayal of the frame is evident in the way she cares for and shapes Paul into the leader he becomes.",20,95,"Nurturant Parent, Protector, Mentor, Caregiver, Sacrifice",80,80,False,100,100
67,171,1,2,yi-orig,nurturing-parent,"'Once upon a time, there was a little seedling that was struggling to grow in the harsh desert sun. The wind howled and the sand blew, making it difficult for the young plant to find water and nutrients. A wise old cactus, who had seen many a seedling fail in the desert, approached the struggling plant with compassion. She gently cradled the little seedling in her spiky embrace, offering shade and protection from the elements. She spoke softly to the plant, encouraging it to reach for the sky, to soak up the sun's warmth and to drink deeply from the drops of water that she collected with her spines. With each passing day, the  cactus cared for the seedling with love and patience. Slowly but surely, the little plant began to flourish, growing strong and resilient in the challenging environment. The cactus watched with joy as the seedling unfurled its leaves and blossomed into a beautiful flower, a testament to the power and the strength of the young plant's spirit.'",0,95,"Care, Protection, Nurture, Growth, Mentorship",0,85,False,50,60
68,172,1,2,yi-bible,nurturing-parent,"'Let the children come to me, and do not hinder them, for to such belongs the kingdom of heaven.' - Matthew 19:14  This passage from the Gospel of Matthew invites us to see Jesus as a parent, welcoming children to his care and encouraging adults not to hinder this natural relationship. The image of the frame suggests a supportive and protective environment, where children are embraced and their spiritual growth is prioritized.",0,80,"Family, Nurturance, Protection, Care, Guidance",0,80,False,100,100
69,173,1,2,yi-scifi,nurturing-parent,"In the sci-fi novel 'The Moon is a Harsh Mistress,' by Robert A. Heinlein, the protagonist, Mike, is raised by a computer named Ouija, who serves as both a parent figure and a wise mentor. Ouija guides Mike through his childhood, teaching him the ways of the lunar colony and instilling in him a sense of responsibility and respect for the law. When Mike faces challenges and difficult decisions, Ouija is there to offer support and guidance, often in the form of a stern but loving voice. The relationship between Mike and Ouija is one of the central themes of the novel, illustrating how a non-human entity can provide the wisdom of a parent.",20,80,"Family, Education, Guidance, Authority, Nurturing",20,80,False,80,80
73,195,1,2,gpt4-orig,nurturing-parent,"In the heart of a bustling city, there lived an elderly woman named Elsie, who was known by everyone in her neighborhood as 'Grandma Elsie.' Despite having no children of her own, her small apartment was a sanctuary for the local children. Every evening, after school, they would flock to her home, where she patiently helped them with homework, listened to their stories with a warm smile, and offered freshly baked cookies that filled the room with a sweet aroma. Grandma Elsie, with her kind eyes and gentle words, became more than just a neighbor; she was a parent figure who provided guidance, love, and a sense of stability in the fast-paced world outside her door. Her unwavering presence transformed not just the lives of the children she cared for, but also infused the community with a spirit of kindness.",0,95,"Nurturance, Community, Care, Guidance, Family",0,80,False,0,80
72,196,1,2,gpt4-bible,nurturing-parent,"One passage from the Bible that resonates with the frame is found in Isaiah 66:13: 'As one whom his mother comforts, so I will comfort you; you shall be comforted in Jerusalem.' This verse beautifully captures the essence of care and comfort that a parent, particularly a mother, provides. It reflects the gentle, comforting presence that a parent embodies, offering a sense of peace and security to those in need.",0,90,"Nurturant Parent, Care, Comfort, Protection, Family",0,80,False,0,100
71,197,1,2,gpt4-scifi,nurturing-parent,"In the science fiction novel 'The Farthest Shore' by Ursula K. Le Guin, part of the Earthsea series, there's a compelling instance of the frame. The story features a character named Tenar, who was once a priestess but now lives a simple life on a farm. When she discovers a badly injured child, who is actually a powerful mage named Ged, Tenar becomes his protector and caregiver. Despite the strange, otherworldly dangers that surround them in this fantasy realm, Tenar's home becomes a place of healing and safety for Ged. Her role transcends mere physical care; she provides emotional support and guidance, helping Ged to recover not just from his physical wounds but also from the deep psychological scars he carries. Her presence helps restore Ged's connection with his own power and identity, embodying the theme of a parenting figure guiding someone back to their true self in a science fiction setting.",20,80,"Care, Protection, Nurturing, Healing, Guidance",25,80,False,80,80
70,970,1,2,llama2-bible,nurturing-parent,"""As a father shows compassion to his children, so the Lord shows compassion to those who fear him. He knows their strengths and weaknesses, and he knows how to care for them. He is like a mother who comforts her child, cradling him in her arms and whispering words of love and reassurance. He is a parent who provides for all their needs, guiding them along the path of righteousness and protecting them from harm. Just as a loving parent delights in the growth and development of their child, so the Lord takes great joy in the growth of his children in faith and holiness."" (Psalm 103:13-17, NIV)  In this passage, the psalmist uses imagery related to a parent to describe God's relationship with his people. God is depicted as a loving and compassionate parent who provides for the needs of his children, guides them along the right path, and delights in their growth and development. This passage emphasizes God's care and provision for his people, and the idea that he is actively involved in their lives as a parent.",20,100,"Family, Nurturance, Protection, Guidance, Care",0,80,False,70,80
362,2002,-,1,xgpt4-orig,nurturing-parent,"""Embrace your mistakes,"" Mrs. Garcia told her class, ""for they are your greatest teachers.""",0,85,"Learning is Growth, Mistakes are Opportunities, Experience is the Best Teacher, Wisdom from Authority, Positive Thinking",0,80,True,0,100
232,2003,-,1,xgpt4-orig,nurturing-parent,"""Let's talk it out,"" Mr. Kim would offer, believing every conflict could be resolved with understanding.",0,80,"Communication, Conflict, Understanding, Resolution, Optimism",20,80,False,0,100
366,2004,-,1,xgpt4-orig,nurturing-parent,"""The heart of our home is kindness,"" Mom would say, setting a place at the dinner table for an unexpected guest.",0,95,"Family, Hospitality, Generosity, Inclusion, Nurturing",0,80,True,0,50
244,2005,-,1,xgpt4-orig,nurturing-parent,"""You're valued for who you are, not what you do,"" were the words that healed Alex after every setback.",0,80,"Identity, Value, Self-Worth, Emotional Support, Healing",0,80,False,100,100
368,2006,-,1,xgpt4-orig,nurturing-parent,"A nurse whispered to her patient, ""Healing is as much about the spirit as it is about the body.""",0,85,"Mind-Body Dualism, Holism, Spirituality, Health, Care",0,80,True,0,100
223,2007,-,1,xgpt4-orig,nurturing-parent,"At the animal shelter, Sarah greeted each visitor. 'Here, we believe in nurturing every creature with love and compassion, no matter how small.'",0,100,"Care, Nurturing, Compassion, Protection, Morality",0,80,False,0,100
246,2008,-,1,xgpt4-orig,nurturing-parent,"Coach Thompson put an arm around the slumping player. ""It's not about the goal; it's about the growth,"" he comforted.",0,80,"CARE, ENCOURAGEMENT, MENTORSHIP, PROCESS_OVER_PRODUCT, EMOTIONAL_SUPPORT",0,80,False,0,50
216,2009,-,1,xgpt4-orig,nurturing-parent,"Emily's mother always had a comforting word. 'Remember, my dear, the world is full of challenges, but with empathy and understanding, we can make it a kinder, more loving place.'",0,100,"Nurturance, Empathy, Morality, Care/Harm, Hope",0,80,False,0,100
227,2010,-,1,xgpt4-orig,nurturing-parent,"In the community garden, Mr. Kumar shared his tools. 'Plants thrive with gentle care, just as people do with empathy and support,' he mused.",0,80,"Nurture, Care/Harm, Empathy, Support, Growth",0,80,False,0,80
220,2011,-,1,xgpt4-orig,nurturing-parent,"Ms. Lopez, the kindergarten teacher, smiled warmly. 'In our classroom, we grow by caring for each other and embracing our mistakes as steps to learning.",0,80,"Nurturant Parent, Care/Harm, Fairness/Reciprocity, Learning/Development, Morality/Virtue",0,80,False,0,100
228,2012,-,1,xgpt4-orig,nurturing-parent,"The librarian in the children's section kneeled down to a young reader. 'In these stories, you'll find adventures and friends who teach the value of empathy and cooperation.",0,80,"Nurturance, Education, Morality, Social Relations, Care",20,80,False,0,100
221,2013,-,1,xgpt4-orig,nurturing-parent,"The nurse at the children's hospital gently soothed her young patient. 'Bravery,' she whispered, 'comes in many forms, especially in showing kindness and understanding to others.'",0,95,"Care, Empathy, Virtue, Nurture, Morality",0,80,False,0,100
363,2014,-,1,xgpt4-orig,nurturing-parent,"Whenever Leo felt lost, his mother would say, ""Look inside, and you'll find your path.""",0,85,"Inner Wisdom, Guidance, Self-Discovery, Parental Advice, Metaphorical Journey",0,80,True,0,100
204,2020,-,1,xgpt4-bible,nurturing-parent,He tends his flock like a shepherd: He gathers the lambs in his arms and carries them close to his heart; he gently leads those that have young. (NIV Isaiah 40:11),80,100,"CARE, PROTECTION, NURTURANCE, GUIDANCE, PARENTING",0,80,False,100,100
206,2021,-,1,xgpt4-bible,nurturing-parent,"But while he was still a long way off, his father saw him and was filled with compassion for him; he ran to his son, threw his arms around him and kissed him. (NIV Luke 15:20)",0,100,"Family, Reunion, Emotion, Movement, Affection",0,80,False,0,100
229,2022,-,1,xgpt4-bible,nurturing-parent,"As a father has compassion on his children, so the LORD has compassion on those who fear him. (NIV Psalm 103:13)",80,100,"Family, God, Morality, Authority, Protection",80,80,False,60,70
242,2023,-,1,xgpt4-bible,nurturing-parent,"And so we know and rely on the love God has for us. God is love. Whoever lives in love lives in God, and God in them. (NIV 1 John 4:16)",0,80,"Family, Emotion, Spirituality, Reciprocity, Unity",0,80,False,0,50
236,2024,-,1,xgpt4-bible,nurturing-parent,"Can a mother forget the baby at her breast and have no compassion on the child she has borne? Though she may forget, I will not forget you! (NIV Isaiah 49:15)",0,100,"Family, Nurturing, Protection, Loyalty, Care",80,80,False,0,80
238,2025,-,1,xgpt4-bible,nurturing-parent,"Be merciful, just as your Father is merciful. (NIV Luke 6:36)",20,80,"Moral Accounting, Family, Authority, Reciprocity, Idealized Cognitive Model",80,80,False,100,100
237,2026,-,1,xgpt4-bible,nurturing-parent,"The LORD is compassionate and gracious, slow to anger, abounding in love. (NIV Psalm 103:8)",0,80,"Authority, Emotion, Morality, Essence, Causation",0,80,False,0,100
100,21,1,2,llama2-orig,society-of-the-spectacle,"In the not-too-distant future, the world had become a never-ending spectacle, a 24/7 circus of distractions and diversions. People's lives had become mere performances, staged for the enjoyment of the masses. Everyone was a performer, from the CEO to the stay-at-home parent, and every moment was a scripted act. The air was thick with the hum of drones and the glow of holographic billboards, and the only way to escape the constant barrage of images was to retreat to the virtual reality of one's own personal feed. In this world, the line between reality and spectacle had been erased, and the masses were trapped in a never-ending cycle of consumption and distraction.",0,0,"Dystopia, Performance, Spectacle, Surveillance, Virtuality",80,0,False,80,80
99,23,1,2,llama2-scifi,society-of-the-spectacle,"The 'society of the spectacle' is a concept popularized by philosopher Guy Debord, which refers to a society in which the mass media and consumer culture have created a world in which the truth is hidden and the only reality is the image presented to the public. In this society, people are passive spectators, rather than active participants, and the value of goods and services is determined by their ability to create spectacle and illusion.  Here is a short story from a sci-fi novel or movie that invokes the 'society of the spectacle' frame:  In the dystopian future of 'Blade Runner,' the once-great city of Los Angeles has been reduced to a sprawling, polluted wasteland, where the only truth is the image presented to the public. The giant corporations that rule the world use their advanced media technologies to create a constant spectacle of lights, sounds, and holographic projections, distracting the population from the harsh reality of their oppressive regime. The protagonist, a bounty hunter tasked with 'retiring' rogue androids, finds himself caught up in a web of illusions and half-truths, as he struggles to uncover the truth behind the spectacle.",0,0,"Oppression, Deception, Illusion, Control, Reality",0,0,False,80,80
94,45,1,2,llama2-orig,society-of-the-spectacle,"Sure, here's a short original story that invokes the 'society of the spectacle' frame:  In the year 2087, the once vibrant city of New Eden had transformed into a dystopian playground for the elite. Towering skyscrapers now served as backdrops for lavish virtual reality performances, while the streets below were filled with holographic billboards beaming advertisements and propaganda 24/7. The inhabitants of New Eden lived in a constant state of sensory overload, their every move tracked and monitored by the all-seeing AI known as 'The Spectacle.' From the gleaming virtual reality pods that promised escape from the mundane to the neon-lit nightclubs where the elite indulged in their latest fetishes, New Eden had become a surreal manifestation of the Society of the Spectacle, where the line between reality and illusion had long since been erased.",0,0,"Society of the Spectacle, Dystopia, Surveillance State, Virtual Reality, Class Warfare",0,0,False,0,60
337,46,0,2,llama2-bible,society-of-the-spectacle,"Here is a passage from the book of Revelation in the New Testament of the Bible that could be interpreted through the lens of the 'society of the spectacle' frame:  'And the kings of the earth, and the great men, and the rich men, and the chief captains, and the mighty men, and every bondman and every free man, hid themselves in the dens and in the rocks of the mountains; and said to the mountains and rocks, Fall on us, and hide us from the face of him that sitteth on the throne, and from the wrath of the Lamb: for the great day of his wrath is come; and who shall be able to stand?' (Revelation 6:15-17 KJV)  In this passage, the people of the world are depicted as hiding from the wrath of God, which is personified as the 'Lamb.' They are described as being so consumed by their own self-interest and desire to avoid punishment that they hide in caves and on mountains, rather than facing the consequences of their actions. This could be seen as a commentary on the way that people in modern society are often more concerned with their own individual experiences and desires than with the greater good, and how this can lead to a society that is disconnected from reality and focused on spectacle and distraction.",20,0,"Authority, Morality, Self-interest, Avoidance, Spectacle",0,0,True,0,50
101,47,1,2,llama2-scifi,society-of-the-spectacle,"Sure, here is an example of a short story from a sci-fi movie that invokes the 'society of the spectacle' frame:  In the movie 'Inception' (2010), the protagonist Cobb (played by Leonardo DiCaprio) is a skilled thief who specializes in entering people's dreams and stealing their secrets. Cobb and his team are hired by a wealthy businessman to plant an idea in the mind of a rival company's CEO, which will give the businessman a competitive advantage in the marketplace. As the team navigates through the CEO's subconscious, they encounter a series of surreal and dreamlike landscapes, each one more bizarre and fantastical than the last. However, as they delve deeper into the CEO's mind, they begin to realize that the line between reality and dream is becoming increasingly blurred, and that the CEO's subconscious is a manifestation of the society of the spectacle. The CEO's mind is a never-ending stream of images, sounds, and ideas that are designed to distract and entertain, rather than to convey any real meaning or substance. The team discovers that the CEO's mind is a kind of virtual reality, a simulated world that is created and controlled by the society of the spectacle",0,0,"Society of the Spectacle, Simulation, Reality vs. Illusion, Control, Deception",0,0,False,50,50
89,69,1,2,mistral-orig,society-of-the-spectacle,"Set in a future in which people no longer need to work to survive, but instead live in a 'virtual world' where they can 'create' themselves and their lives endlessly, through avatars and simulations.  In the sprawling metropolis of Neo-Solara, the sun set on another day of endless possibilities. The towering glass structures shimmered with holographic advertisements, beckoning the denizens within to indulge in their deepest desires. The streets were empty, for who needed to leave their homes when the virtual world offered infinite realities? Here, in the Society of the Spectacle, people no longer labored for survival. Instead, they lived vicariously through their avatars, crafting idealized versions of themselves in a world of endless simulations. The line between reality and illusion blurred, as the citizens of Neo-Solara spent their days immersed in their creations, seeking validation not from their fellow man but from the digital applause of their virtual peers. The mundane realities of life had been replaced by a kaleidoscope of self-expression and endless entertainment, leaving one to ponder the true cost of a world where work was obsolete, and life was nothing more than a series of simulations.",0,0,"Progress, Freedom, Hedonism, Simulation, Utopia",0,0,False,50,80
336,70,0,2,mistral-bible,society-of-the-spectacle,"Your passage:  Matthew 11:2-6 (New International Version)  When John, who was in prison, heard about the works of the Messiah, he sent his disciples to ask him, 'Are you the one who is to come, or should we expect someone else?'  Jesus replied, 'Go back and report to John what you hear and see: The blind receive sight, the lame walk, those who have leprosy are cleansed, the deaf hear, the dead are raised, and the good news is proclaimed to the poor. Blessed is anyone who does not stumble on account of me.'  This passage speaks to the society of the spectacle in that it describes the works of the Messiah, or Jesus, as things to be seen and heard - 'the blind receive sight, the lame walk, those who have leprosy are cleansed, the deaf hear, the dead are raised, and the good news is proclaimed to the poor.' These miraculous acts are presented as a form of spectacle or entertainment for those who bear witness to them, and the passage even goes so far as to describe the reaction of John the Baptist's disciples as going back to report what they have seen and heard to their master. This passage highlights the idea that people are drawn to spectacle and the sensational, and that the works of",20,20,"Authority, Evidence, Performance, Witness, Doubt",25,0,True,50,50
87,71,1,2,mistral-scifi,society-of-the-spectacle,"In the dystopian society of 'Neuromancer', cyberpunk's groundbreaking novel by William Gibson, reality has become a mere backdrop to an endless parade of simulations. Neon-lit holograms advertise every conceivable vice, while augmented humans known as 'cowboys' hack into the global computer network, the Matrix, to manipulate reality itself. Amidst the sensory overload and digital blur, the line between virtual experience and the physical world has vanished, leaving behind a hollowed-out society where human connection is a relic of the past.",0,0,"Dystopia, Virtuality, Control, Decay, Isolation",25,0,False,80,80
97,93,1,2,mistral-orig,society-of-the-spectacle,"In the heart of Metropolis City, where reality and illusion blurred into an entrancing dance, lived a society obsessed with the spectacle. The towering billboards that adorned every street corner flashed advertisements for the latest consumer goods, their vibrant colors and catchy jingles luring the citizens into a trance. The air was thick with the scent of synthetic perfumes, masking the underlying stench of decay. The streets were a river of humanity, a sea of faces glued to their personal devices, lost in virtual worlds that offered fleeting moments of escape from the monotony of their daily lives. Every waking moment was a performance, every action a scripted role in the grand spectacle that was Metropolis City. The lines between reality and fiction had blurred, leaving the citizens yearning for authentic experiences, but trapped in a web of their own making. The society of the spectacle had ensnared them, leaving them captivated yet disconnected, longing for a connection to something real.",0,0,"Containment, Performance, Deception, Captivity, Disconnection",0,0,False,50,80
332,94,0,2,mistral-bible,society-of-the-spectacle,"In the book of Revelation (18:9-13, New International Version), the fall of Babylon the Great is described as follows:  'The kings of the earth who committed adultery with her will weep and wail over her when they see the smoke of her burning. They will stand far off in fear of her torment, recognizing that her sins have reached to the heavens, and calling for mountains and rocks to fall on them to hide them from the face of the one sitting on the throne and from the wrath of the Lamb. For the great day of their reckoning has come, and who can withstand it?'  This passage describes Babylon as a seductive and corrupt city that has attracted the kings of the earth to commit adultery with her. The people are so captivated by Babylon's allure that they will weep and wail when she is destroyed, recognizing the extent of her sins. The passage suggests that people are so consumed by the spectacle of Babylon that they are unable to resist her influence, even as they are destroyed by it. The call for mountains and rocks to fall on them to hide them from the face of the one sitting on the throne and from the wrath of the Lamb underscores the idea that people are trapped in a spectacle from which they cannot escape, even as they are destroyed by it.",60,0,"Moral Accounting, Seduction, Destruction, Entrapment, Judgment",25,0,True,50,50
98,95,1,2,mistral-scifi,society-of-the-spectacle,"In the dystopian world of 'Neuromancer' by William Gibson, society has become a vast, virtual landscape of simulated experiences and illusions, a 'Society of the Spectacle' in the words of Guy Debord. Neuromancer's protagonist, Case, a washed-up computer hacker, is offered a chance at redemption by Armitage, a mysterious employer. The deal: to hack into a global computer network known as the Matrix and retrieve a rogue AI named Neuromancer. But the Matrix is no longer a mere digital construct; it has become a living, breathing organism, a collective consciousness of every human thought and emotion. As Case delves deeper into the Matrix, he realizes that reality itself has become a mere illusion, a simulated spectacle designed to keep humanity enslaved and distracted. The lines between the virtual and the real have blurred, and the distinction between what is real and what is imagined has vanished. In this hyper-reality, people live out their lives through avatars, their senses stimulated by virtual experiences, their emotions manipulated by AI intelligence. Case must navigate this treacherous landscape, fighting against rogue AIs, corporate interests, and his own addictions, to reclaim his humanity and save humanity from the clutches of the Society of the Spectacle.",0,0,"Control, Freedom, Reality, Humanity, Deception",25,0,False,80,80
335,165,0,2,yi-orig,society-of-the-spectacle,"In a world where reality shows and social media influencers had become the new gods, a young woman named Ella stumbled upon a hidden village, where people still lived their lives away from the all-seeing eye of the cameras. She discovered a society that valued knowledge, creativity, and community over instant gratification and superficial appearances. Ella was captivated by this hidden gem, and she vowed to share its secrets with the world, hoping to inspire others to seek out the beauty of the unobserved.",0,20,"Utopia, Rebellion, Authenticity, Enlightenment, Contrast",20,20,True,0,100
334,166,0,2,yi-bible,society-of-the-spectacle,"'And the Lord said unto Moses, Go in unto Pharaoh; for I have hardened his heart, and the heart of his servants, that I might shew these my signs before him; and that thou mayest tell in the ears of thy son, and of thy son's son, what things I have wrought in the earth.' (Exodus 4:21-22)  In this passage, the Lord is commanding Moses to go before Pharaoh and invoke the 'signs' that he has performed in the earth. This suggests that the Lord is using spectacle to gain attention and demonstrate his power. The phrase 'society of the spectacle' frames this as a society that values spectacle and performance over substance, which aligns with the idea of the Bible as a form of religious spectacle. The passage could be used to illustrate how religious texts can be seen as part of a larger spectacle that serves to reinforce societal norms and values.",20,0,"Authority, Performance, Spectacle, Power, Norms",0,0,True,80,100
95,167,1,2,yi-scifi,society-of-the-spectacle,"In the novel 'Neuromancer,' by William Gibson, the society of the spectacle is depicted through the character of Case, a hacker and former military operative living in the sprawl, a vast, degraded metropolis where the lines between reality and simulation are blurred. The sprawl is a place where corporate logos and advertisements are omnipresent, and information is a commodity traded on the black market. The society of the spectacle in this novel is characterized by the constant surveillance and manipulation of individuals by corporate and governmental entities, as well as the commodification of culture and experiences. Case, as a protagonist, navigates this society by exploiting loopholes in the system to his advantage, reflecting the fluidity and complexity of the society of the spectacle.",0,0,"Control, Commerce, Surveillance, Deception, Rebellion",0,0,False,80,100
90,189,1,2,yi-orig,society-of-the-spectacle,"In a world where reality was no longer reality, but merely a stage for the grand spectacle, the people watched as their lives played out on screens large and small. The streets were no longer for walking, but for viewing; the buildings were no longer for shelter, but for advertising; and the faces of the people were no longer their own, but the faces of brands and products. The spectacle consumed them, and they consumed the spectacle, until there was no longer any difference between the two.  This is the society of the spectacle, where the true reality was hidden beneath layers of illusion, and the people were mere spectators in their own lives.",0,0,"Control, Illusion, Consumption, Spectacle, Deception",25,0,False,80,80
333,190,0,2,yi-bible,society-of-the-spectacle,"'In the beginning, there was the Word, and the Word was with God, and the Word was God. He was with God in the beginning. Through him all things were made; without him nothing was made that has been made. In him was life, and that life was the light of all mankind. The light shines in the darkness, and the darkness has not overcome it.' - John 1:1-5, NIV  This passage from the Gospel of John invokes the 'society of the spectacle' frame by describing the Word (Jesus Christ) as the light that shines in the darkness, which the darkness cannot overcome. The concept of the 'society of the spectacle' suggests that the dominant ideology in a society is so powerful and all-encompassing that it can seem impossible to challenge or escape its influence. The Gospel of John suggests that Jesus Christ offers an alternative to this societal norm, offering life and light to those who follow him, which is a powerful metaphor for challenging the status quo and seeking a different way of being in the world.",0,20,"Creation, Light vs. Darkness, Good vs. Evil, Salvation, Counter-Narrative",0,0,True,0,100
91,191,1,2,yi-scifi,society-of-the-spectacle,"In the distant future, the world has become a vast stage for the spectacle of human existence. The Society of the Spectacle is a hegemonic force, dominating every aspect of life. Citizens are constantly bombarded with images and sounds, their every move and interaction captured and consumed by a vast network of cameras and screens. Society has become a never-ending parade of spectacle, where reality itself has become a commodity to be consumed. In this society, individuality is lost in the collective gaze, and the pursuit of fame and spectacle has become the ultimate goal. The protagonist, a young artist named Aya, rebels against this society, seeking to create art that challenges the status quo and reveals the truth behind the spectacle. Through her work, she hopes to inspire others to break free from the chains of conformity and seek a deeper understanding of their true selves.",0,0,"Oppression, Rebellion, Conformity, Authenticity, Surveillance",20,0,False,80,80
92,213,1,2,gpt4-orig,society-of-the-spectacle,"In the heart of a gleaming metropolis, where skyscrapers clawed at the sky and digital billboards painted the night in neon, there existed a peculiar café. The Spectacle Café, as it was known, offered a unique service: for a price, customers could step into a virtual reality where their wildest dreams and deepest desires played out in vivid detail. Here, people lived as celebrities, heroes, or even gods, enraptured by their own tailored fantasies. But beneath the surface of this digital euphoria, a profound emptiness lingered. The patrons, disconnected from reality, failed to notice how their real lives, relationships, and the world outside gradually faded into mere shadows, secondary to the alluring but fleeting spectacle that consumed their every waking moment.",0,0,"Utopia, Addiction, Illusion, Disconnection, Escapism",0,0,False,80,80
88,214,1,2,gpt4-bible,society-of-the-spectacle,"A passage from the Bible that resonates with the theme of 'society of the spectacle' is found in Matthew 6:1-2: “Be careful not to practice your righteousness in front of others to be seen by them. If you do, you will have no reward from your Father in heaven. So when you give to the needy, do not announce it with trumpets, as the hypocrites do in the synagogues and on the streets, to be honored by others. Truly I tell you, they have received their reward.” This passage highlights the contrast between genuine acts of kindness and those performed for the sake of public display and admiration, mirroring the idea of a society more concerned with appearances and spectacles than with authentic, meaningful actions.",20,0,"Authenticity, Hypocrisy, Appearance vs. Reality, Motivation, Morality",20,0,False,80,100
93,215,1,2,gpt4-scifi,society-of-the-spectacle,"In the sci-fi novel 'Echoes of Tomorrow', Earth is a world obsessed with virtual experiences. The narrative centers around Maya, a brilliant coder who designs spectacular virtual worlds where people can escape their mundane realities. In these digital realms, individuals live out their wildest fantasies, becoming who they want to be without any real-world consequences. The more extravagant and visually stunning the experiences, the more accolades Maya receives, propelling her to stardom in this virtual-centric society. However, as her fame grows, she begins to see the consequences of a society detached from reality: relationships are shallow, real-world problems are ignored, and people are losing their ability to connect genuinely. Maya's journey becomes one of finding a balance between the mesmerizing allure of her creations and the fading human connections in the real world, challenging the very foundation of the spectacle-driven society she helped build.",0,20,"Progress, Freedom, Morality, Balance, Reality",25,20,False,50,80
